3	8345	16
13.966	3.319	1300
13.963	3.318	1300
13.938	3.369	1300
13.920	3.424	1300
13.907	3.483	1300
13.892	3.535	1300
13.877	3.588	1300
13.866	3.639	1300
13.858	3.692	1300
13.866	3.746	1300
13.893	3.797	1300
13.907	3.850	1300
13.918	3.902	1300
13.919	3.956	1300
13.910	4.007	1300
13.915	4.059	1300
13.929	4.110	1300
13.923	4.164	1300
13.908	4.214	1300
13.902	4.269	1300
13.952	4.316	1300
13.981	4.367	1300
13.993	4.419	1300
14.007	4.469	1300
14.014	4.525	1300
14.029	4.578	1300
14.080	4.588	1300
14.131	4.546	1300
14.150	4.494	1300
14.170	4.442	1300
14.224	4.404	1300
14.264	4.351	1300
14.269	4.300	1300
14.282	4.249	1300
14.323	4.196	1300
14.359	4.145	1300
14.397	4.095	1300
14.405	4.044	1300
14.419	3.993	1300
14.470	3.944	1300
14.480	3.893	1300
14.495	3.839	1300
14.523	3.789	1300
14.525	3.735	1300
14.526	3.679	1300
14.538	3.625	1300
14.540	3.575	1300
14.596	3.573	1300
14.647	3.580	1300
14.699	3.594	1300
14.751	3.578	1300
14.750	3.526	1300
14.767	3.472	1300
14.810	3.420	1300
14.803	3.369	1300
14.855	3.353	1300
14.907	3.357	1300
14.958	3.350	1300
15.009	3.360	1300
15.059	3.326	1300
13.785	3.306	1325
13.785	3.306	1325
13.798	3.357	1325
13.807	3.410	1325
13.799	3.465	1325
13.792	3.518	1325
13.785	3.568	1325
13.768	3.621	1325
13.748	3.673	1325
13.730	3.726	1325
13.706	3.782	1325
13.684	3.835	1325
13.673	3.886	1325
13.659	3.939	1325
13.647	3.993	1325
13.640	4.047	1325
13.640	4.101	1325
13.648	4.157	1325
13.652	4.210	1325
13.650	4.268	1325
13.643	4.322	1325
13.639	4.375	1325
13.634	4.433	1325
13.625	4.484	1325
13.601	4.538	1325
13.586	4.594	1325
13.577	4.650	1325
13.573	4.702	1325
13.591	4.753	1325
13.629	4.805	1325
13.646	4.857	1325
13.653	4.907	1325
13.643	4.960	1325
13.619	5.011	1325
13.614	5.062	1325
13.624	5.115	1325
13.619	5.167	1325
13.596	5.217	1325
13.591	5.268	1325
13.605	5.318	1325
13.618	5.369	1325
13.637	5.424	1325
13.650	5.477	1325
13.659	5.531	1325
13.677	5.588	1325
